Unnamed: 0,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
752,12.15,Regular,0.013529884,Fruits and Vegetables,106.2596,OUT027,1985,Medium,Tier 3,Supermarket Type3,1402.1748
4678,17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.3656
5717,21.25,Low Fat,0.114246019,Health and Hygiene,231.23,OUT017,2007,Medium,Tier 2,Supermarket Type1,3029.39
4370,17.25,Regular,0.047266211,Snack Foods,97.0068,OUT046,1997,Small,Tier 1,Supermarket Type1,1846.9292
351,14.5,Regular,0.063993068,Breads,260.4594,OUT045,2002,Medium,Tier 2,Supermarket Type1,5494.8474
1511,8.02,Low Fat,0.0,Household,157.7972,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692
4500,12.35,Low Fat,0.026832182,Canned,57.3246,OUT017,2007,Medium,Tier 2,Supermarket Type1,1332.2658
3091,16.75,Low Fat,0.032652796,Health and Hygiene,190.8162,OUT045,2002,Medium,Tier 2,Supermarket Type1,2886.243
4977,5.11,Low Fat,0.034874689,Household,161.721,OUT046,1997,Small,Tier 1,Supermarket Type1,2446.815
7335,15.1,Low Fat,0.055793586,Household,139.7496,OUT013,1987,High,Tier 3,Supermarket Type1,3952.1888
4055,12.15,Low Fat,0.134418705,Household,99.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,2596.62
6499,8.5,Low Fat,0.098083231,Canned,50.3324,OUT045,2002,Medium,Tier 2,Supermarket Type1,675.1212
3615,10.0,Regular,0.063121982,Frozen Foods,231.7668,OUT013,1987,High,Tier 3,Supermarket Type1,460.7336
2036,16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,1911.5118
7000,14.6,Regular,0.043133816,Fruits and Vegetables,109.7254,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.1524
561,19.1,Low Fat,0.075836522,Dairy,40.2138,OUT010,1998,Medium,Tier 3,Grocery Store,81.2276
5502,14.8,Low Fat,0.019476708,Health and Hygiene,193.0794,OUT035,2004,Small,Tier 2,Supermarket Type1,3901.588
4706,20.85,Low Fat,0.121227447,Snack Foods,197.5452,OUT035,2004,Small,Tier 2,Supermarket Type1,4306.3944
2847,16.0,Regular,0.099188598,Frozen Foods,88.9856,OUT013,1987,High,Tier 3,Supermarket Type1,1669.8264
4537,12.15,Low Fat,0.045900448,Snack Foods,118.9124,OUT027,1985,Medium,Tier 3,Supermarket Type3,2844.2976
6315,12.3,Low Fat,0.0,Baking Goods,37.2874,OUT013,1987,High,Tier 3,Supermarket Type1,705.748
2061,15.7,Regular,0.11521312,Canned,112.0202,OUT017,2007,Medium,Tier 2,Supermarket Type1,3150.5656
6739,7.81,Regular,0.055226755,Canned,123.1046,OUT046,1997,Small,Tier 1,Supermarket Type1,871.5322
6299,8.38,Regular,0.046960237,Baking Goods,111.857,OUT049,1999,Medium,Tier 1,Supermarket Type1,2966.139
3964,14.0,Low Fat,0.028980533,Health and Hygiene,129.531,OUT018,2009,Medium,Tier 3,Supermarket Type2,2077.296
4139,15.5,Regular,0.086184647,Frozen Foods,50.9692,OUT018,2009,Medium,Tier 3,Supermarket Type2,394.1536
5474,8.395,Low Fat,0.072383777,Hard Drinks,251.504,OUT017,2007,Medium,Tier 2,Supermarket Type1,7084.112
1047,7.85,Low Fat,0.162980276,Hard Drinks,145.2444,OUT046,1997,Small,Tier 1,Supermarket Type1,1451.444
6720,13.15,Low Fat,0.020715913,Breads,83.5566,OUT046,1997,Small,Tier 1,Supermarket Type1,1268.349
1954,10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,OUT017,2007,Medium,Tier 2,Supermarket Type1,4250.4672
414,15.7,Low Fat,0.160663021,Household,59.4562,OUT046,1997,Small,Tier 1,Supermarket Type1,829.5868
2845,11.8,Regular,0.014115626,Frozen Foods,178.5344,OUT045,2002,Medium,Tier 2,Supermarket Type1,3390.2536
7867,14.65,Regular,0.099113429,Snack Foods,52.8666,OUT035,2004,Small,Tier 2,Supermarket Type1,461.3994
2166,18.0,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,2007,Medium,Tier 2,Supermarket Type1,2648.5524
2776,20.25,Regular,0.022936488,Baking Goods,240.8538,OUT035,2004,Small,Tier 2,Supermarket Type1,7931.6754
7075,10.3,Regular,0.0,Fruits and Vegetables,189.053,OUT045,2002,Medium,Tier 2,Supermarket Type1,5313.084
2728,5.365,Regular,0.234733477,Seafood,173.4764,OUT010,1998,Medium,Tier 3,Grocery Store,171.7764
5680,7.825,Regular,0.149890395,Frozen Foods,159.0288,OUT013,1987,High,Tier 3,Supermarket Type1,1257.0304
8371,8.27,Regular,0.214125129,Soft Drinks,183.9924,OUT010,1998,Medium,Tier 3,Grocery Store,185.0924
3025,14.85,Low Fat,0.15643727,Baking Goods,142.0812,OUT010,1998,Medium,Tier 3,Grocery Store,284.9624
4053,12.5,Low Fat,0.031097948,Fruits and Vegetables,103.899,OUT049,1999,Medium,Tier 1,Supermarket Type1,1960.781
4192,12.15,Regular,0.2004264,Baking Goods,88.8514,OUT019,1985,Small,Tier 1,Grocery Store,265.6542
8053,12.15,Regular,0.0,Frozen Foods,37.0506,OUT027,1985,Medium,Tier 3,Supermarket Type3,986.7156
1583,9.6,Regular,0.02734361,Snack Foods,257.8304,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.3128
1412,4.61,Low Fat,0.123346085,Hard Drinks,172.5396,OUT017,2007,Medium,Tier 2,Supermarket Type1,3663.2316
7436,20.25,Low Fat,0.0,Household,145.6418,OUT013,1987,High,Tier 3,Supermarket Type1,3384.2614
7818,17.75,Low Fat,0.058168807,Dairy,249.575,OUT010,1998,Medium,Tier 3,Grocery Store,499.35
1905,9.0,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608
3315,12.15,Low Fat,0.0,Baking Goods,100.1384,OUT027,1985,Medium,Tier 3,Supermarket Type3,2956.152
3605,20.5,Regular,0.112316501,Fruits and Vegetables,193.9478,OUT013,1987,High,Tier 3,Supermarket Type1,4456.1994
7088,12.15,Regular,0.23653561,Starchy Foods,184.1924,OUT019,1985,Small,Tier 1,Grocery Store,185.0924
1507,15.0,Regular,0.026950104,Baking Goods,220.9456,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.3648
2683,5.175,Low Fat,0.037457098,Canned,83.4224,OUT049,1999,Medium,Tier 1,Supermarket Type1,1448.7808
5950,15.15,Regular,0.066311153,Frozen Foods,145.776,OUT045,2002,Medium,Tier 2,Supermarket Type1,3954.852
7305,10.895,Low Fat,0.059834024,Fruits and Vegetables,133.5284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568
842,6.13,Low Fat,0.076855207,Dairy,59.3536,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470.0864
1146,10.8,Low Fat,0.0,Hard Drinks,72.338,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618
5697,12.15,Low Fat,0.08279545,Frozen Foods,245.8776,OUT027,1985,Medium,Tier 3,Supermarket Type3,4705.8744
5446,17.6,Regular,0.039381633,Snack Foods,98.041,OUT018,2009,Medium,Tier 3,Supermarket Type2,675.787
2244,7.935,Low Fat,0.017141985,Dairy,50.035,OUT013,1987,High,Tier 3,Supermarket Type1,149.805
7175,13.6,Low Fat,0.010033871,Household,177.937,OUT018,2009,Medium,Tier 3,Supermarket Type2,2293.681
1253,8.26,Regular,0.032435437,Soft Drinks,124.873,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.152
463,6.26,Low Fat,0.031599715,Household,111.3228,OUT017,2007,Medium,Tier 2,Supermarket Type1,2431.5016
3715,20.75,Low Fat,0.108879177,Snack Foods,161.5578,OUT049,1999,Medium,Tier 1,Supermarket Type1,320.9156
5006,8.18,Low Fat,0.0,Household,140.5154,OUT045,2002,Medium,Tier 2,Supermarket Type1,1701.7848
5278,10.195,Low Fat,0.042113173,Snack Foods,42.5428,OUT018,2009,Medium,Tier 3,Supermarket Type2,878.856
6775,12.15,Regular,0.104786172,Snack Foods,172.2764,OUT027,1985,Medium,Tier 3,Supermarket Type3,1545.9876
2855,7.67,Low Fat,0.309390255,Household,33.2216,OUT010,1998,Medium,Tier 3,Grocery Store,138.4864
5907,11.65,Low Fat,0.174049032,Dairy,52.9298,OUT046,1997,Small,Tier 1,Supermarket Type1,647.1576
1926,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.8448
8290,19.1,Low Fat,0.067676056,Household,40.8796,OUT017,2007,Medium,Tier 2,Supermarket Type1,371.5164
378,16.75,Low Fat,0.060495243,Dairy,169.8106,OUT013,1987,High,Tier 3,Supermarket Type1,3251.1014
3066,6.675,Low Fat,0.0,Snack Foods,92.9462,OUT018,2009,Medium,Tier 3,Supermarket Type2,1018.0082
5956,9.3,Regular,0.03362713,Meat,156.1314,OUT017,2007,Medium,Tier 2,Supermarket Type1,620.5256
1335,16.25,Low Fat,0.0,Canned,90.2804,OUT018,2009,Medium,Tier 3,Supermarket Type2,1653.8472
1223,6.65,Low Fat,0.053397989,Canned,149.3734,OUT045,2002,Medium,Tier 2,Supermarket Type1,296.9468
6438,5.94,Regular,0.049163321,Breads,186.4556,OUT010,1998,Medium,Tier 3,Grocery Store,563.2668
668,20.0,Regular,0.104245198,Canned,105.3622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270.3464
1957,13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,OUT045,2002,Medium,Tier 2,Supermarket Type1,3067.3406
4631,12.15,Regular,0.067373081,Breads,258.8988,OUT027,1985,Medium,Tier 3,Supermarket Type3,3083.9856
7529,15.6,Low Fat,0.087646694,Snack Foods,221.5798,OUT013,1987,High,Tier 3,Supermarket Type1,5509.495
6147,17.6,Low Fat,0.010096684,Snack Foods,160.4552,OUT017,2007,Medium,Tier 2,Supermarket Type1,2599.2832
8412,11.0,Regular,0.13341564,Canned,218.7798,OUT045,2002,Medium,Tier 2,Supermarket Type1,2203.798
5601,20.25,Regular,0.018789455,Fruits and Vegetables,222.0772,OUT013,1987,High,Tier 3,Supermarket Type1,3113.2808
4717,12.15,Regular,0.080697998,Frozen Foods,39.8506,OUT019,1985,Small,Tier 1,Grocery Store,37.9506
2465,10.395,Regular,0.036957777,Meat,230.5352,OUT045,2002,Medium,Tier 2,Supermarket Type1,4580.704
4475,7.365,Low Fat,0.042552205,Fruits and Vegetables,225.172,OUT035,2004,Small,Tier 2,Supermarket Type1,3395.58
3459,18.85,Low Fat,0.039723999,Snack Foods,41.048,OUT045,2002,Medium,Tier 2,Supermarket Type1,918.804
6611,12.15,Low Fat,0.058444176,Soft Drinks,73.0696,OUT019,1985,Small,Tier 1,Grocery Store,223.7088
4814,12.15,Low Fat,0.036109413,Fruits and Vegetables,140.6154,OUT027,1985,Medium,Tier 3,Supermarket Type3,4538.0928
2436,15.1,Regular,0.019965179,Frozen Foods,130.531,OUT049,1999,Medium,Tier 1,Supermarket Type1,908.817
7852,20.2,Regular,0.121442754,Snack Foods,94.9752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.2528
3309,10.695,Regular,0.127727102,Dairy,121.144,OUT046,1997,Small,Tier 1,Supermarket Type1,1917.504
7303,12.35,Low Fat,0.163941937,Household,117.0124,OUT046,1997,Small,Tier 1,Supermarket Type1,1540.6612
5147,11.35,Low Fat,0.0,Snack Foods,52.4008,OUT035,2004,Small,Tier 2,Supermarket Type1,809.6128
7371,17.0,Low Fat,0.136008489,Fruits and Vegetables,171.7106,OUT045,2002,Medium,Tier 2,Supermarket Type1,1711.106
4819,7.05,Low Fat,0.084966021,Snack Foods,111.1912,OUT046,1997,Small,Tier 1,Supermarket Type1,1965.4416
1189,9.695,Low Fat,0.070843019,Hard Drinks,177.7344,OUT017,2007,Medium,Tier 2,Supermarket Type1,1605.9096
2057,6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,OUT035,2004,Small,Tier 2,Supermarket Type1,5406.296
3803,12.15,Low Fat,0.006665667,Household,164.1184,OUT027,1985,Medium,Tier 3,Supermarket Type3,3797.7232
5948,9.1,Low Fat,0.134393836,Household,48.0718,OUT010,1998,Medium,Tier 3,Grocery Store,47.2718
4919,9.1,Low Fat,0.055514919,Household,112.5518,OUT049,1999,Medium,Tier 1,Supermarket Type1,341.5554
1880,12.15,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208
5505,16.7,Low Fat,0.022190488,Dairy,113.1886,OUT017,2007,Medium,Tier 2,Supermarket Type1,3335.658
1406,6.13,Low Fat,0.076891526,Dairy,61.5536,OUT045,2002,Medium,Tier 2,Supermarket Type1,796.2968
1561,14.15,Low Fat,0.035943717,Soft Drinks,40.5138,OUT046,1997,Small,Tier 1,Supermarket Type1,446.7518
330,20.7,Low Fat,0.09261307,Dairy,76.367,OUT013,1987,High,Tier 3,Supermarket Type1,306.268
1175,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1,990.7104
5418,15.35,Low Fat,0.096379585,Soft Drinks,196.5768,OUT035,2004,Small,Tier 2,Supermarket Type1,4729.8432
6912,9.8,Regular,0.015087112,Meat,250.1408,OUT035,2004,Small,Tier 2,Supermarket Type1,4005.4528
2034,10.695,Low Fat,0.06375108,Household,36.7848,OUT035,2004,Small,Tier 2,Supermarket Type1,782.9808
2650,6.65,Low Fat,0.053372768,Canned,149.5734,OUT049,1999,Medium,Tier 1,Supermarket Type1,2524.0478
2164,12.15,Regular,0.04586701,Frozen Foods,37.9506,OUT027,1985,Medium,Tier 3,Supermarket Type3,910.8144
214,14.65,Low Fat,0.0,Household,161.5552,OUT010,1998,Medium,Tier 3,Grocery Store,324.9104
4913,12.15,Regular,0.029023048,Canned,177.837,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606
5584,5.26,Regular,0.041837331,Baking Goods,161.8868,OUT049,1999,Medium,Tier 1,Supermarket Type1,5077.3908
547,12.15,Low Fat,0.030815427,Frozen Foods,252.0698,OUT010,1998,Medium,Tier 3,Grocery Store,1014.6792
5735,12.15,Regular,0.072762086,Fruits and Vegetables,120.9072,OUT019,1985,Small,Tier 1,Grocery Store,122.5072
1545,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998,Medium,Tier 3,Grocery Store,677.1186
7274,7.905,Low Fat,0.0,Frozen Foods,109.1254,OUT017,2007,Medium,Tier 2,Supermarket Type1,1627.881
3846,15.25,Low Fat,0.061434045,Household,130.9968,OUT018,2009,Medium,Tier 3,Supermarket Type2,2348.9424
2760,7.075,Low Fat,0.058676973,Dairy,142.0128,OUT017,2007,Medium,Tier 2,Supermarket Type1,2588.6304
172,11.8,Regular,0.057373797,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
1726,9.1,Low Fat,0.173973652,Baking Goods,126.5362,OUT013,1987,High,Tier 3,Supermarket Type1,1761.7068
6946,7.05,Regular,0.05587277,Breads,222.1088,OUT017,2007,Medium,Tier 2,Supermarket Type1,4026.7584
7036,15.2,Low Fat,0.019064377,Snack Foods,238.2248,OUT049,1999,Medium,Tier 1,Supermarket Type1,3555.372
594,5.82,Low Fat,0.080640478,Household,167.779,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.243
5888,8.39,Low Fat,0.120474481,Household,165.5868,OUT035,2004,Small,Tier 2,Supermarket Type1,1965.4416
1615,8.575,Regular,0.071958197,Dairy,195.3794,OUT049,1999,Medium,Tier 1,Supermarket Type1,3511.4292
1755,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,OUT018,2009,Medium,Tier 3,Supermarket Type2,2342.9502
5885,20.2,Low Fat,0.0,Household,187.1898,OUT013,1987,High,Tier 3,Supermarket Type1,2993.4368
6521,7.75,Low Fat,0.043238822,Baking Goods,92.5436,OUT046,1997,Small,Tier 1,Supermarket Type1,1701.7848
7349,5.325,Regular,0.0,Dairy,55.8298,OUT035,2004,Small,Tier 2,Supermarket Type1,485.3682
231,12.15,Regular,0.13956116,Seafood,170.4764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3435.528
5846,15.6,Low Fat,0.081562686,Baking Goods,112.7544,OUT017,2007,Medium,Tier 2,Supermarket Type1,1118.544
7752,12.15,Low Fat,0.015385857,Frozen Foods,208.9928,OUT027,1985,Medium,Tier 3,Supermarket Type3,9678.0688
3971,11.8,Regular,0.0,Meat,102.4674,OUT010,1998,Medium,Tier 3,Grocery Store,203.7348
6110,12.65,Regular,0.076474728,Frozen Foods,191.8846,OUT017,2007,Medium,Tier 2,Supermarket Type1,1146.5076
8516,18.6,Low Fat,0.118661426,Others,58.7588,OUT018,2009,Medium,Tier 3,Supermarket Type2,858.882
2263,15.0,Low Fat,0.058346234,Snack Foods,44.0744,OUT013,1987,High,Tier 3,Supermarket Type1,633.8416
7932,12.15,Low Fat,0.028382853,Health and Hygiene,109.4596,OUT019,1985,Small,Tier 1,Grocery Store,647.1576
5995,20.6,Low Fat,0.023585598,Fruits and Vegetables,94.7778,OUT017,2007,Medium,Tier 2,Supermarket Type1,1314.2892
2960,14.15,Low Fat,0.0,Household,197.111,OUT049,1999,Medium,Tier 1,Supermarket Type1,3731.809
6416,6.17,Low Fat,0.010630949,Meat,65.9826,OUT046,1997,Small,Tier 1,Supermarket Type1,1162.4868
3395,12.15,Regular,0.043978369,Fruits and Vegetables,178.4318,OUT027,1985,Medium,Tier 3,Supermarket Type3,2526.0452
4581,12.3,Low Fat,0.009463757,Baking Goods,73.838,OUT017,2007,Medium,Tier 2,Supermarket Type1,1245.046
4694,9.065,Low Fat,0.115233813,Frozen Foods,94.4094,OUT013,1987,High,Tier 3,Supermarket Type1,2856.282
8098,12.15,Regular,0.05336162,Canned,200.1742,OUT027,1985,Medium,Tier 3,Supermarket Type3,6171.3002
7316,20.2,Low Fat,0.074177667,Household,93.2462,OUT013,1987,High,Tier 3,Supermarket Type1,1018.0082
1515,4.59,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.046
216,6.11,Regular,0.0,Fruits and Vegetables,131.2968,OUT010,1998,Medium,Tier 3,Grocery Store,260.9936
1038,13.65,Regular,0.026643448,Meat,37.9532,OUT049,1999,Medium,Tier 1,Supermarket Type1,862.8768
323,11.15,Regular,0.008326735,Dairy,149.9708,OUT017,2007,Medium,Tier 2,Supermarket Type1,1956.1204
6289,17.35,Regular,0.146527359,Seafood,147.905,OUT049,1999,Medium,Tier 1,Supermarket Type1,2247.075
4511,12.5,Low Fat,0.020697723,Breads,198.8742,OUT046,1997,Small,Tier 1,Supermarket Type1,5773.1518
3774,18.35,Low Fat,0.030556922,Health and Hygiene,190.6162,OUT045,2002,Medium,Tier 2,Supermarket Type1,3271.0754
2223,16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,1998,Medium,Tier 3,Grocery Store,188.4214
7012,6.095,Low Fat,0.08152738,Others,140.3154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1843.6002
6018,6.76,Regular,0.028982682,Fruits and Vegetables,79.596,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
893,13.5,Regular,0.159587755,Fruits and Vegetables,145.3102,OUT013,1987,High,Tier 3,Supermarket Type1,729.051
4781,8.39,Low Fat,0.121178848,Household,165.1868,OUT017,2007,Medium,Tier 2,Supermarket Type1,2784.3756
7738,14.65,Low Fat,0.083698962,Household,163.4552,OUT018,2009,Medium,Tier 3,Supermarket Type2,2599.2832
1850,5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,OUT017,2007,Medium,Tier 2,Supermarket Type1,1761.7068
3477,16.35,Low Fat,0.090562192,Household,198.211,OUT046,1997,Small,Tier 1,Supermarket Type1,1964.11
3475,13.8,Regular,0.056825065,Snack Foods,230.9984,OUT013,1987,High,Tier 3,Supermarket Type1,4633.968
324,20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,OUT049,1999,Medium,Tier 1,Supermarket Type1,2404.2038
1215,20.25,Regular,0.102704495,Canned,94.312,OUT035,2004,Small,Tier 2,Supermarket Type1,2982.784
6021,20.75,Low Fat,0.025169703,Health and Hygiene,150.4734,OUT049,1999,Medium,Tier 1,Supermarket Type1,1187.7872
7819,16.2,Regular,0.016650191,Frozen Foods,97.4726,OUT035,2004,Small,Tier 2,Supermarket Type1,1174.4712
5129,10.695,Regular,0.086764795,Snack Foods,156.7972,OUT035,2004,Small,Tier 2,Supermarket Type1,3427.5384
4990,18.6,Low Fat,0.015858893,Snack Foods,152.9366,OUT017,2007,Medium,Tier 2,Supermarket Type1,453.4098
8016,12.15,Low Fat,0.018275994,Canned,115.2808,OUT019,1985,Small,Tier 1,Grocery Store,117.1808
8386,6.92,Low Fat,0.038454076,Dairy,61.5852,OUT046,1997,Small,Tier 1,Supermarket Type1,813.6076
1730,7.47,Regular,0.153011599,Frozen Foods,215.2218,OUT017,2007,Medium,Tier 2,Supermarket Type1,3419.5488
7712,9.3,Regular,0.033489979,Meat,156.6314,OUT049,1999,Medium,Tier 1,Supermarket Type1,1241.0512
3047,12.65,Regular,0.127283051,Frozen Foods,191.7846,OUT010,1998,Medium,Tier 3,Grocery Store,382.1692
1129,12.15,Low Fat,0.113669629,Canned,89.0198,OUT019,1985,Small,Tier 1,Grocery Store,174.4396
7275,17.85,Low Fat,0.02492239,Soft Drinks,153.4998,OUT018,2009,Medium,Tier 3,Supermarket Type2,2922.1962
2510,15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.0288
4552,12.15,Regular,0.0,Snack Foods,58.7588,OUT019,1985,Small,Tier 1,Grocery Store,400.8116
3352,11.3,Regular,0.054637635,Meat,93.3094,OUT049,1999,Medium,Tier 1,Supermarket Type1,3046.7008
664,12.15,Low Fat,0.018485511,Frozen Foods,253.1698,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.0188
7605,16.2,Low Fat,0.044472637,Frozen Foods,43.3454,OUT017,2007,Medium,Tier 2,Supermarket Type1,922.7988
3106,7.81,Regular,0.055451725,Canned,122.6046,OUT018,2009,Medium,Tier 3,Supermarket Type2,2365.5874
208,12.15,Regular,0.051643608,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
5478,17.6,Low Fat,0.041851756,Soft Drinks,162.7526,OUT017,2007,Medium,Tier 2,Supermarket Type1,3124.5994
747,18.5,Regular,0.0,Dairy,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,2041.3428
2374,5.88,Low Fat,0.003606726,Hard Drinks,154.1998,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.1982
4897,12.15,Regular,0.093883945,Canned,200.4742,OUT019,1985,Small,Tier 1,Grocery Store,398.1484
798,6.55,Low Fat,0.024521191,Breads,100.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.8632
88,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
734,5.03,Low Fat,0.008644894,Household,122.6756,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.8632
196,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
8355,18.0,Low Fat,0.038978526,Snack Foods,148.6418,OUT013,1987,High,Tier 3,Supermarket Type1,2795.6942
7295,20.5,Low Fat,0.036344721,Fruits and Vegetables,122.3756,OUT017,2007,Medium,Tier 2,Supermarket Type1,2544.6876
6061,7.485,Low Fat,0.069514712,Snack Foods,108.7228,OUT017,2007,Medium,Tier 2,Supermarket Type1,1326.2736
1174,16.1,Regular,0.047801883,Frozen Foods,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,2265.0516
7486,11.65,Regular,0.076002991,Snack Foods,83.4908,OUT045,2002,Medium,Tier 2,Supermarket Type1,503.3448
2245,12.6,Low Fat,0.056394771,Seafood,51.3982,OUT017,2007,Medium,Tier 2,Supermarket Type1,473.3838
6460,8.52,Low Fat,0.027114238,Soft Drinks,151.9682,OUT045,2002,Medium,Tier 2,Supermarket Type1,1677.1502
7356,6.67,Regular,0.12332588,Snack Foods,90.2514,OUT013,1987,High,Tier 3,Supermarket Type1,974.0654
5783,9.035,Regular,0.174450933,Meat,151.0708,OUT017,2007,Medium,Tier 2,Supermarket Type1,2708.4744
4447,9.8,Low Fat,0.02316823,Soft Drinks,47.506,OUT010,1998,Medium,Tier 3,Grocery Store,186.424
6310,10.85,Low Fat,0.162107603,Snack Foods,106.3622,OUT013,1987,High,Tier 3,Supermarket Type1,2117.244
3820,6.89,Regular,0.136984147,Snack Foods,192.682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2703.148
2691,13.15,Low Fat,0.024651269,Household,179.5686,OUT046,1997,Small,Tier 1,Supermarket Type1,1422.1488
1153,9.8,Low Fat,0.026192765,Snack Foods,215.685,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.155
198,12.15,Regular,0.098663652,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596
3078,12.6,Regular,0.031598706,Baking Goods,172.9764,OUT045,2002,Medium,Tier 2,Supermarket Type1,2233.0932
4127,13.65,Regular,0.031573246,Canned,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,299.61
