,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Outlet_Sales,High,Medium,Small,Tier 1,Tier 2,Tier 3
38,FDX10,17.6,1,0.123111453,7,36.9874,5,1985,4,388.1614,0,1,0,0,0,1
39,FDB34,17.6,0,0.026480954,7,87.6198,5,1985,4,2180.495,0,1,0,0,0,1
40,FDU02,13.35,0,0.102511504,1,230.6352,8,1997,1,3435.528,0,0,1,1,0,0
41,FDK43,9.8,0,0.02681843,3,126.002,4,1987,1,2150.534,1,0,0,0,0,1
42,FDA46,13.6,0,0.117818348,7,192.9136,1,1999,1,2527.3768,0,1,0,1,0,0
43,FDC02,21.35,0,0.069102831,12,259.9278,2,2009,2,6768.5228,0,1,0,0,0,1
44,FDL50,12.15,1,0.042277867,12,126.5046,4,1987,1,373.5138,1,0,0,0,0,1
45,FDM39,6.42,0,0.089498926,1,178.1002,3,1998,3,358.2004,0,1,0,0,0,1
46,NCP05,19.6,0,0.0,10,153.3024,6,2002,1,2428.8384,0,1,0,0,1,0
47,FDV49,10.0,0,0.025879577,12,265.2226,6,2002,1,5815.0972,0,1,0,0,1,0
48,FDL12,15.85,1,0.121632721,6,60.622,8,1997,1,2576.646,0,0,1,1,0,0
49,FDS02,17.6,1,0.255394896,1,196.8794,10,1985,3,780.3176,0,0,1,1,0,0
50,NCL17,7.39,0,0.067779712,10,143.8812,8,1997,1,3134.5864,0,0,1,1,0,0
51,FDM40,10.195,0,0.159803853,8,141.5154,4,1987,1,850.8924,1,0,0,0,0,1
52,FDR13,9.895,1,0.028696932,12,117.0492,4,1987,1,810.9444,1,0,0,0,0,1
53,FDA43,10.895,0,0.065041581,4,196.3794,7,2007,1,3121.2704,0,1,0,0,1,0
54,NCP18,12.15,0,0.028760013,5,151.4708,7,2007,1,4815.0656,0,1,0,0,1,0
55,FDK21,7.905,0,0.010053105,7,249.0408,2,2009,2,6258.52,0,1,0,0,0,1
56,NCX54,9.195,0,0.048157338,5,106.1622,6,2002,1,2117.244,0,1,0,0,1,0
57,DRK35,8.365,0,0.071958197,11,38.0506,1,1999,1,796.9626,0,1,0,1,0,0
58,FDY21,15.1,0,0.173481304,7,194.511,8,1997,1,4910.275,0,0,1,1,0,0
59,FDI26,17.6,0,0.061082177,12,180.0344,10,1985,3,892.172,0,0,1,1,0,0
60,FDM20,10.0,0,0.0,4,246.9144,2,2009,2,3185.1872,0,1,0,0,0,1
61,FDV27,7.97,1,0.040071131,3,87.3514,6,2002,1,1062.6168,0,1,0,0,1,0
62,FDF09,17.6,0,0.012090074,4,38.2848,5,1985,4,484.7024,0,1,0,0,0,1
63,FDY40,17.6,1,0.15028599,8,51.0692,10,1985,3,147.8076,0,0,1,1,0,0
64,FDY45,17.6,0,0.026015519,7,255.8356,5,1985,4,2543.356,0,1,0,0,0,1
65,FDC46,17.7,0,0.195068226,7,185.4266,3,1998,3,184.4266,0,1,0,0,0,1
66,FDH19,19.35,0,0.033082215,3,172.5738,9,2004,1,4865.6664,0,0,1,0,1,0
67,FDZ03,13.65,1,0.078946455,1,186.024,6,2002,1,1118.544,0,1,0,0,1,0
68,DRH37,17.6,0,0.041700756,2,164.8526,6,2002,1,2302.3364,0,1,0,0,1,0
69,NCI17,8.645,0,0.143422643,10,95.841,8,1997,1,2027.361,0,0,1,1,0,0
70,FDJ58,15.6,1,0.105296072,7,170.1764,8,1997,1,3435.528,0,0,1,1,0,0
71,FDL12,15.85,1,0.121531501,6,59.222,4,1987,1,599.22,1,0,0,0,0,1
72,FDH35,18.25,0,0.0,14,164.7526,6,2002,1,4604.6728,0,1,0,0,1,0
73,FDG02,7.855,0,0.011324862,12,189.6188,7,2007,1,2285.0256,0,1,0,0,1,0
74,NCZ18,7.825,0,0.186357148,5,254.3698,1,1999,1,5580.7356,0,1,0,1,0,0
75,FDC29,8.39,1,0.024205661,8,114.0176,8,1997,1,2290.352,0,0,1,1,0,0
76,FDQ10,12.85,0,0.033230816,7,172.3422,1,1999,1,1207.0954,0,1,0,1,0,0
77,FDN48,17.6,0,0.113720344,6,89.9804,10,1985,3,643.1628,0,0,1,1,0,0
78,FDL04,19.0,0,0.112556507,8,104.9622,7,2007,1,1587.933,0,1,0,0,1,0
79,FDV25,5.905,0,0.0,12,222.5456,6,2002,1,5305.0944,0,1,0,0,1,0
80,FDD58,7.76,0,0.059352241,7,101.87,8,1997,1,1697.79,0,0,1,1,0,0
81,FDN04,11.8,1,0.014087057,8,180.3344,8,1997,1,1427.4752,0,0,1,1,0,0
82,FDV45,16.75,0,0.045230944,7,187.9556,2,2009,2,4693.89,0,1,0,0,0,1
83,NCL18,17.6,0,0.293417759,5,194.6136,10,1985,3,583.2408,0,0,1,1,0,0
84,FDR12,17.6,1,0.031382044,6,171.3764,5,1985,4,3091.9752,0,1,0,0,0,1
85,FDG20,15.5,1,0.12639886,4,177.0028,7,2007,1,2479.4392,0,1,0,0,1,0
86,FDZ55,6.055,0,0.025403898,4,160.992,9,2004,1,2716.464,0,0,1,0,1,0
87,FDQ49,17.6,1,0.039057677,9,155.963,5,1985,4,3285.723,0,1,0,0,0,1
88,FDN33,6.305,1,0.123115764,7,95.6436,8,1997,1,661.8052,0,0,1,1,0,0
89,FDN27,20.85,0,0.039624006,3,117.2808,1,1999,1,1523.3504,0,1,0,1,0,0
90,FDW20,20.75,0,0.040421193,4,122.173,3,1998,3,369.519,0,1,0,0,0,1
91,DRG27,8.895,0,0.105274111,1,39.9138,1,1999,1,690.4346,0,1,0,1,0,0
92,DRI25,19.6,0,0.033970195,2,55.1614,6,2002,1,1381.535,0,1,0,0,1,0
93,FDA44,19.7,0,0.053212652,4,57.893,9,2004,1,622.523,0,0,1,0,1,0
94,NCR17,9.8,0,0.024378706,10,114.5492,9,2004,1,1274.3412,0,0,1,0,1,0
95,FDU04,17.6,0,0.009714595,8,120.0414,10,1985,3,487.3656,0,0,1,1,0,0
96,FDF41,12.15,0,0.131383762,8,246.046,1,1999,1,1231.73,0,1,0,1,0,0
97,FDB56,8.75,1,0.07461309,4,187.4556,9,2004,1,3755.112,0,0,1,0,1,0
98,NCP18,17.6,0,0.028459761,5,149.9708,5,1985,4,4363.6532,0,1,0,0,0,1
99,FDB56,8.75,1,0.074627201,4,187.8556,8,1997,1,1314.2892,0,0,1,1,0,0
100,FDT28,13.3,0,0.063695084,8,151.0708,6,2002,1,1805.6496,0,1,0,0,1,0
101,FDD10,17.6,1,0.045797829,7,178.5344,5,1985,4,2854.9504,0,1,0,0,0,1
102,FDW57,8.31,1,0.115857223,7,179.1028,1,1999,1,3896.2616,0,1,0,1,0,0
103,DRB48,16.75,1,0.024832806,2,38.7822,4,1987,1,667.7974,1,0,0,0,0,1
104,FDP09,19.75,0,0.034027909,7,212.0902,2,2009,2,3185.853,0,1,0,0,0,1
105,FDH14,17.1,1,0.0467696,12,141.1838,4,1987,1,2247.7408,1,0,0,0,0,1
106,FDA47,10.5,1,0.116576702,6,163.121,4,1987,1,1794.331,1,0,0,0,0,1
107,FDG12,6.635,1,0.0,6,121.3098,6,2002,1,2530.7058,0,1,0,0,1,0
108,DRE60,17.6,0,0.278974075,2,225.372,10,1985,3,679.116,0,0,1,1,0,0
109,DRK49,14.15,0,0.035913805,2,41.4138,4,1987,1,812.276,1,0,0,0,0,1
110,FDD03,13.3,0,0.079806266,1,232.53,8,1997,1,699.09,0,0,1,1,0,0
111,FDS52,8.89,0,0.005505481,8,102.4016,7,2007,1,2732.4432,0,1,0,0,1,0
112,FDW39,17.6,1,0.064625342,3,176.937,10,1985,3,176.437,0,0,1,1,0,0
113,FDX34,17.6,0,0.071636937,7,121.7098,5,1985,4,4097.3332,0,1,0,0,0,1
114,FDV11,9.1,1,0.0,13,173.2054,6,2002,1,3151.8972,0,1,0,0,1,0
115,FDD17,7.5,0,0.032677678,8,239.0906,1,1999,1,5942.265,0,1,0,1,0,0
116,FDZ16,16.85,1,0.160760054,8,192.4478,7,2007,1,4843.695,0,1,0,0,1,0
117,FDZ46,7.485,0,0.06911065,7,109.0228,9,2004,1,2542.0244,0,0,1,0,1,0
118,DRA12,11.6,0,0.041177505,2,140.3154,7,2007,1,2552.6772,0,1,0,0,1,0
119,FDY58,11.65,0,0.040081193,7,227.0694,2,2009,2,1141.847,0,1,0,0,0,1
120,NCF19,13.0,0,0.035307322,5,47.5034,7,2007,1,680.4476,0,1,0,0,1,0
121,DRJ13,12.65,0,0.063017847,2,159.0578,6,2002,1,2085.9514,0,1,0,0,1,0
122,FDB14,20.25,1,0.171938781,12,92.512,3,1998,3,186.424,0,1,0,0,0,1
123,FDJ38,8.6,1,0.040197932,12,190.153,9,2004,1,3036.048,0,0,1,0,1,0
124,FDW11,12.6,0,0.049058014,13,62.7194,7,2007,1,866.8716,0,1,0,0,1,0
125,FDL40,17.7,0,0.01161096,8,95.041,9,2004,1,868.869,0,0,1,0,1,0
126,DRI49,14.15,0,0.183507295,2,82.4276,8,1997,1,1137.1864,0,0,1,1,0,0
127,FDV38,19.25,0,0.102349519,1,52.7956,7,2007,1,928.1252,0,1,0,0,1,0
128,DRG23,8.88,0,0.086708987,11,151.7682,4,1987,1,762.341,1,0,0,0,0,1
129,NCP30,20.5,0,0.032835147,5,40.2822,6,2002,1,707.0796,0,1,0,0,1,0
130,FDY25,17.6,0,0.033809913,12,180.5976,5,1985,4,7968.2944,0,1,0,0,0,1
131,NCH54,13.5,0,0.07266912,5,160.292,8,1997,1,1438.128,0,0,1,1,0,0
132,NCR53,17.6,0,0.144338493,10,224.4404,5,1985,4,6976.2524,0,1,0,0,0,1
133,FDS52,8.89,0,0.009163216,8,101.7016,3,1998,3,101.2016,0,1,0,0,0,1
134,FDG02,7.855,0,0.011307038,12,188.5188,2,2009,2,952.094,0,1,0,0,0,1
135,NCO26,7.235,0,0.076855628,5,116.0492,8,1997,1,1969.4364,0,0,1,1,0,0
136,FDH35,17.6,0,0.059956876,14,165.4526,5,1985,4,5262.4832,0,1,0,0,0,1
137,FDB51,6.92,0,0.038532062,1,60.5852,6,2002,1,1314.2892,0,1,0,0,1,0
138,FDX44,9.3,0,0.043209581,4,90.8172,7,2007,1,535.3032,0,1,0,0,1,0
139,NCN07,18.5,0,0.056816465,15,132.1284,3,1998,3,263.6568,0,1,0,0,0,1
140,NCC31,8.02,0,0.019866705,5,154.5972,9,2004,1,1402.1748,0,0,1,0,1,0
141,NCX54,9.195,0,0.048331717,5,105.1622,7,2007,1,1693.7952,0,1,0,0,1,0
142,NCO55,12.8,0,0.091221855,15,105.5938,6,2002,1,2143.876,0,1,0,0,1,0
143,NCC30,16.6,0,0.027622076,5,177.6344,1,1999,1,2676.516,0,1,0,1,0,0
144,FDI16,14.0,1,0.0,8,53.064,9,2004,1,905.488,0,0,1,0,1,0
145,FDP16,18.6,0,0.039355947,8,246.3802,1,1999,1,7370.406,0,1,0,1,0,0
146,FDB11,16.0,0,0.060836524,14,226.8404,9,2004,1,6301.1312,0,0,1,0,1,0
147,NCB06,17.6,0,0.082316506,10,160.692,9,2004,1,1597.92,0,0,1,0,1,0
148,FDA45,21.25,0,0.155350299,7,178.237,9,2004,1,529.311,0,0,1,0,1,0
149,NCO26,7.235,0,0.076841095,5,117.5492,9,2004,1,1969.4364,0,0,1,0,1,0
150,DRJ25,14.6,0,0.151419185,2,50.3692,7,2007,1,1034.6532,0,1,0,0,1,0
151,FDR28,13.85,1,0.026001976,8,161.521,2,2009,2,1794.331,0,1,0,0,0,1
152,FDI04,13.65,1,0.073209447,8,197.6426,2,2009,2,2768.3964,0,1,0,0,0,1
153,DRK12,17.6,0,0.041683481,2,31.29,5,1985,4,898.83,0,1,0,0,0,1
154,FDX20,7.365,0,0.042560252,4,226.172,8,1997,1,3169.208,0,0,1,1,0,0
155,NCI18,18.35,0,0.014081156,5,223.5746,2,2009,2,3589.9936,0,1,0,0,0,1
156,FDB36,5.465,1,0.0,6,132.5626,2,2009,2,262.3252,0,1,0,0,0,1
157,FDN13,18.6,0,0.152918384,9,99.8358,7,2007,1,1910.1802,0,1,0,0,1,0
158,DRD24,13.85,0,0.030969274,2,140.9154,7,2007,1,1701.7848,0,1,0,0,1,0
159,FDQ28,14.0,1,0.060376776,8,154.5656,4,1987,1,2471.4496,1,0,0,0,0,1
160,FDM22,14.0,1,0.04192285,7,54.764,4,1987,1,1331.6,1,0,0,0,0,1
161,FDR07,17.6,0,0.077367431,4,97.0094,5,1985,4,1808.9786,0,1,0,0,0,1
162,FDV25,5.905,0,0.045838211,12,222.5456,2,2009,2,3315.684,0,1,0,0,0,1
163,DRF49,7.27,0,0.071077939,2,114.2518,8,1997,1,2618.5914,0,0,1,1,0,0
164,FDW51,6.155,1,0.094659871,3,214.556,8,1997,1,2769.728,0,0,1,1,0,0
165,DRL01,19.5,1,0.077608838,2,233.4958,7,2007,1,5375.0034,0,1,0,0,1,0
166,FDP25,15.2,0,0.021327477,12,216.8824,7,2007,1,2838.9712,0,1,0,0,1,0
167,FDL50,12.15,1,0.042485444,12,125.0046,2,2009,2,1743.0644,0,1,0,0,0,1
168,NCB30,17.6,0,0.025578526,5,198.8084,5,1985,4,5555.4352,0,1,0,0,0,1
169,FDW11,12.6,0,0.0489808,13,61.9194,2,2009,2,619.194,0,1,0,0,0,1
170,NCM43,14.5,0,0.019471688,15,164.821,9,2004,1,2120.573,0,0,1,0,1,0
171,FDK44,16.6,0,0.122918852,4,173.0738,7,2007,1,3823.0236,0,1,0,0,1,0
172,FDM15,11.8,1,0.057373797,3,151.4366,4,1987,1,1360.2294,1,0,0,0,0,1
173,FDS31,13.1,1,0.044155597,4,178.8318,4,1987,1,3969.4996,1,0,0,0,0,1
174,FDI32,17.7,0,0.291865402,4,115.1834,3,1998,3,345.5502,0,1,0,0,0,1
175,FDR47,17.85,0,0.0,13,196.5794,3,1998,3,585.2382,0,1,0,0,0,1
176,FDB35,12.3,1,0.064750025,14,92.6804,6,2002,1,1010.6844,0,1,0,0,1,0
177,NCU05,11.8,0,0.098312421,10,81.4618,3,1998,3,161.1236,0,1,0,0,0,1
178,DRY23,17.6,1,0.191013663,2,42.1112,10,1985,3,42.6112,0,0,1,1,0,0
179,FDO24,11.1,0,0.176573035,6,157.4604,6,2002,1,3010.7476,0,1,0,0,1,0
180,FDQ28,17.6,1,0.060134441,8,153.0656,5,1985,4,6024.1584,0,1,0,0,0,1
181,FDV39,11.3,0,0.007294652,3,198.1426,6,2002,1,988.713,0,1,0,0,1,0
182,NCO17,17.6,0,0.128478462,10,117.944,10,1985,3,239.688,0,0,1,1,0,0
183,FDU50,5.75,1,0.075107656,1,112.8176,4,1987,1,1374.2112,1,0,0,0,0,1
184,FDT12,17.6,1,0.049381406,6,226.8062,5,1985,4,4739.8302,0,1,0,0,0,1
185,FDK58,11.35,1,0.045165796,7,100.0016,2,2009,2,1012.016,0,1,0,0,0,1
186,FDO08,17.6,1,0.09415375,4,165.7526,10,1985,3,657.8104,0,0,1,1,0,0
187,NCW29,14.0,0,0.028907832,10,130.431,1,1999,1,778.986,0,1,0,1,0,0
188,FDE04,19.75,1,0.018059621,8,179.766,6,2002,1,2336.958,0,1,0,0,1,0
189,NCB19,6.525,0,0.090436094,5,85.0882,1,1999,1,2233.0932,0,1,0,1,0,0
190,FDV15,10.3,0,0.146399712,3,103.9648,1,1999,1,1661.8368,0,1,0,1,0,0
191,FDL58,5.78,1,0.074264356,7,264.7568,1,1999,1,4745.8224,0,1,0,1,0,0
192,FDA08,11.85,1,0.050186726,4,164.1526,6,2002,1,3124.5994,0,1,0,0,1,0
193,FDT43,16.35,0,0.020631654,4,50.1324,2,2009,2,467.3916,0,1,0,0,0,1
194,NCX06,17.6,0,0.01561108,5,182.5976,5,1985,4,5070.7328,0,1,0,0,0,1
195,FDT20,10.5,0,0.041395445,4,37.6164,8,1997,1,540.6296,0,0,1,1,0,0
196,FDB41,19.0,1,0.097313129,8,48.0718,8,1997,1,992.7078,0,0,1,1,0,0
197,NCN55,14.6,0,0.059582996,15,238.8538,1,1999,1,6008.845,0,1,0,1,0,0
198,FDE40,17.6,1,0.098663652,1,62.9194,5,1985,4,2105.2596,0,1,0,0,0,1
199,FDX49,17.6,1,0.101338651,12,232.63,5,1985,4,5359.69,0,1,0,0,0,1
200,NCM53,18.75,0,0.052146456,10,104.628,6,2002,1,745.696,0,1,0,0,1,0
201,FDE36,5.26,1,0.041764487,6,161.8868,9,2004,1,3275.736,0,0,1,0,1,0
202,FDN57,18.25,0,0.054344186,7,140.2154,6,2002,1,1701.7848,0,1,0,0,1,0
203,FDI24,17.6,0,0.078362484,6,177.937,5,1985,4,6704.606,0,1,0,0,0,1
204,FDI19,15.1,0,0.052339069,3,242.7512,8,1997,1,4119.9704,0,0,1,1,0,0
205,FDF24,15.5,1,0.042464962,6,81.5934,3,1998,3,327.5736,0,1,0,0,0,1
206,FDG52,13.65,0,0.065732883,8,45.7402,1,1999,1,780.9834,0,1,0,1,0,0
207,DRF36,16.1,0,0.023625114,2,189.3846,6,2002,1,3630.6074,0,1,0,0,1,0
208,FDS45,17.6,1,0.051643608,7,107.3622,10,1985,3,317.5866,0,0,1,1,0,0
209,FDX40,12.85,0,0.165694219,8,39.7164,3,1998,3,231.6984,0,1,0,0,0,1
210,DRK12,9.5,0,0.041878397,2,32.99,9,2004,1,133.16,0,0,1,0,1,0
211,DRC27,13.8,0,0.058091482,1,245.1802,9,2004,1,5650.6446,0,0,1,0,1,0
212,FDL58,5.78,1,0.0,7,263.7568,7,2007,1,2636.568,0,1,0,0,1,0
213,NCD30,19.7,0,0.026903714,5,96.0726,6,2002,1,1272.3438,0,1,0,0,1,0
214,NCZ54,14.65,0,0.0,5,161.5552,3,1998,3,324.9104,0,1,0,0,0,1
215,FDE10,6.67,1,0.150554711,7,130.0626,3,1998,3,131.1626,0,1,0,0,0,1
216,FDR44,6.11,1,0.0,4,131.2968,3,1998,3,260.9936,0,1,0,0,0,1
217,FDP28,13.65,1,0.134975628,8,260.0936,3,1998,3,260.9936,0,1,0,0,0,1
218,FDX15,17.2,0,0.15616879,3,160.6578,4,1987,1,3690.5294,1,0,0,0,0,1
219,FDA39,6.32,0,0.0,3,40.2822,9,2004,1,1139.1838,0,0,1,0,1,0
220,FDY24,4.88,1,0.133700752,6,52.9298,1,1999,1,1995.4026,0,1,0,1,0,0
221,FDC60,5.425,1,0.115119905,6,88.3514,7,2007,1,1416.8224,0,1,0,0,1,0
222,FDH28,15.85,1,0.110030997,8,37.2506,8,1997,1,265.6542,0,0,1,1,0,0
223,FDT25,7.5,0,0.051038045,12,121.7072,7,2007,1,3552.7088,0,1,0,0,1,0
224,DRJ13,12.65,0,0.062837968,2,161.5578,4,1987,1,2406.867,1,0,0,0,0,1
225,NCO07,17.6,0,0.017116983,15,211.956,10,1985,3,213.056,0,0,1,1,0,0
226,FDW20,20.75,0,0.024129332,4,124.173,4,1987,1,2956.152,1,0,0,0,0,1
227,DRF27,17.6,0,0.049754975,1,152.134,10,1985,3,153.134,0,0,1,1,0,0
228,FDS49,9.0,0,0.0,12,79.7644,9,2004,1,1649.8524,0,0,1,0,1,0
229,FDX25,17.6,0,0.101561568,12,181.9292,5,1985,4,3101.2964,0,1,0,0,0,1
230,NCX42,17.6,0,0.005949644,5,165.6526,5,1985,4,4769.1254,0,1,0,0,0,1
231,FDG33,17.6,1,0.13956116,16,170.4764,5,1985,4,3435.528,0,1,0,0,0,1
232,FDL56,14.1,0,0.126035694,4,86.4198,6,2002,1,1133.8574,0,1,0,0,1,0
233,FDF14,7.55,0,0.027164679,12,152.334,9,2004,1,2603.278,0,0,1,0,1,0
234,NCD06,13.0,0,0.099325278,5,45.406,8,1997,1,605.878,0,0,1,1,0,0
235,DRM47,17.6,0,0.04357366,11,192.8846,5,1985,4,2293.0152,0,1,0,0,0,1
236,FDS46,17.6,1,0.082741482,7,118.7782,10,1985,3,119.1782,0,0,1,1,0,0
237,FDB35,12.3,1,0.064565202,14,92.9804,4,1987,1,1929.4884,1,0,0,0,0,1
238,FDX21,17.6,0,0.084554569,7,109.8912,5,1985,4,2074.6328,0,1,0,0,0,1
239,NCU05,17.6,0,0.058451805,10,79.9618,5,1985,4,241.6854,0,1,0,0,0,1
240,NCR38,17.25,0,0.113748685,5,251.3724,6,2002,1,6795.1548,0,1,0,0,1,0
241,NCR18,15.85,0,0.020603511,5,42.7112,7,2007,1,639.168,0,1,0,0,1,0
242,NCU41,18.85,0,0.052044976,10,192.1846,9,2004,1,3248.4382,0,0,1,0,1,0
243,FDY56,16.35,1,0.062764429,4,227.6062,7,2007,1,7222.5984,0,1,0,0,1,0
244,DRJ51,14.1,0,0.087977262,1,229.0668,9,2004,1,3225.1352,0,0,1,0,1,0
245,FDK21,7.905,0,0.010010425,7,249.0408,9,2004,1,3755.112,0,0,1,0,1,0
246,FDY25,12.0,0,0.033946163,12,179.3976,4,1987,1,3440.8544,1,0,0,0,0,1
247,FDU44,12.15,1,0.058414678,4,163.4552,9,2004,1,974.7312,0,0,1,0,1,0
248,FDL43,10.1,0,0.027106459,3,75.367,1,1999,1,535.969,0,1,0,1,0,0
249,FDF05,17.5,0,0.027022883,8,262.491,7,2007,1,5259.82,0,1,0,0,1,0
250,DRF15,17.6,0,0.058153409,1,152.034,10,1985,3,306.268,0,0,1,1,0,0
251,FDL20,17.1,0,0.128937661,4,112.3886,2,2009,2,1779.0176,0,1,0,0,0,1
252,FDV32,7.785,0,0.088846306,4,61.451,1,1999,1,759.012,0,1,0,1,0,0
253,FDJ34,11.8,1,0.09357779,7,125.9704,4,1987,1,1877.556,1,0,0,0,0,1
254,FDG08,13.15,1,0.165694678,4,171.8764,6,2002,1,3779.0808,0,1,0,0,1,0
255,FDQ04,17.6,0,0.148392623,8,41.5796,10,1985,3,41.2796,0,0,1,1,0,0
256,FDW13,8.5,0,0.098438394,12,51.1324,7,2007,1,259.662,0,1,0,0,1,0
257,NCI17,8.645,0,0.143303291,10,96.341,4,1987,1,193.082,1,0,0,0,0,1
258,FDY03,17.6,1,0.076276208,3,110.9202,6,2002,1,1687.803,0,1,0,0,1,0
259,FDS12,9.1,0,0.175103435,6,127.5362,7,2007,1,4655.9394,0,1,0,0,1,0
260,FDJ55,12.8,1,0.023511371,3,225.9404,4,1987,1,4950.8888,1,0,0,0,0,1
261,DRK01,7.63,0,0.06105276,2,95.4436,9,2004,1,1418.154,0,0,1,0,1,0
262,FDG28,9.285,1,0.049559042,8,246.4144,7,2007,1,1225.072,0,1,0,0,1,0
263,FDY38,13.6,1,0.119418124,1,231.03,6,2002,1,5359.69,0,1,0,0,1,0
264,FDN01,8.895,0,0.072545601,9,176.237,6,2002,1,1764.37,0,1,0,0,1,0
265,NCR54,16.35,0,0.090486828,5,195.211,4,1987,1,2553.343,1,0,0,0,0,1
266,FDG29,17.6,0,0.056245075,8,43.3454,4,1987,1,1006.6896,1,0,0,0,0,1
267,FDG24,7.975,0,0.014618973,6,85.225,4,1987,1,1081.925,1,0,0,0,0,1
268,FDG59,15.85,0,0.043479126,14,36.7164,7,2007,1,308.9312,0,1,0,0,1,0
269,FDM28,15.7,0,0.045166237,8,178.666,4,1987,1,2516.724,1,0,0,0,0,1
270,FDW04,8.985,1,0.057827101,8,128.831,8,1997,1,1428.141,0,0,1,1,0,0
271,FDS26,20.35,0,0.089394766,1,260.1594,4,1987,1,2093.2752,1,0,0,0,0,1
272,FDQ56,6.59,0,0.10550944,4,85.6908,4,1987,1,1929.4884,1,0,0,0,0,1
273,FDK51,19.85,0,0.005234153,1,264.0884,9,2004,1,5829.7448,0,0,1,0,1,0
274,FDL22,16.85,0,0.036390174,7,91.4488,8,1997,1,2082.6224,0,0,1,1,0,0
